"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"246","0.3308","0.3308","0.3308"
"247","0.3819","0.3819","0.3819"
"248","0.2899","0.2899","0.2899"
"249","0.2581","0.2581","0.2581"
"250","0.306","0.306","0.306"
"251","0.3239","0.3239","0.3239"
"252","0.2938","0.2938","0.2938"
"253","0.2844","0.2844","0.2844"
"254","0.1986","0.1986","0.1986"
"255","0.2105","0.2105","0.2105"
"256","0.2947","0.2947","0.2947"
"257","0.21","0.21","0.21"
"258","0.1973","0.1973","0.1973"
"259","0.2753","0.2753","0.2753"
"260","0.3051","0.3051","0.3051"
"261","0.2926","0.2926","0.2926"
"262","0.178","0.178","0.178"
"263","0.2105","0.2105","0.2105"
"264","0.2675","0.2675","0.2675"
"265","0.3204","0.3204","0.3204"
"266","0.2356","0.2356","0.2356"
"267","0.3196","0.3196","0.3196"
"268","0.2866","0.2866","0.2866"
"269","0.1737","0.1737","0.1737"
"270","0.1671","0.1671","0.1671"
"271","0.3307","0.3307","0.3307"
"272","0.235","0.235","0.235"
"273","0.2085","0.2085","0.2085"
"274","0.3113","0.3113","0.3113"
"275","0.1721","0.1721","0.1721"
"276","0.3018","0.3018","0.3018"
"277","0.2076","0.2076","0.2076"
"278","0.2433","0.2433","0.2433"
"279","0.3113","0.3113","0.3113"
"280","0.2809","0.2809","0.2809"
"281","0.3173","0.3173","0.3173"
"282","0.2311","0.2311","0.2311"
"283","0.1355","0.1355","0.1355"
"284","0.2665","0.2665","0.2665"
"285","0.3106","0.3106","0.3106"
"286","0.3161","0.3161","0.3161"
"287","0.2605","0.2605","0.2605"
"288","0.3294","0.3294","0.3294"
"289","0.2879","0.2879","0.2879"
"290","0.321","0.321","0.321"
"291","0.2573","0.2573","0.2573"
"292","0.1755","0.1755","0.1755"
"293","0.105","0.105","0.105"
"294","0.2906","0.2906","0.2906"
"295","0.2188","0.2188","0.2188"
"296","0.1561","0.1561","0.1561"
"297","0.238","0.238","0.238"
"298","0.2863","0.2863","0.2863"
"299","0.2975","0.2975","0.2975"
"300","0.4383","0.4383","0.4383"
"301","0.2342","0.2342","0.2342"
"302","0.302","0.302","0.302"
"303","0.3264","0.3264","0.3264"
"304","0.2438","0.2438","0.2438"
"305","0.2724","0.2724","0.2724"
"306","0.1696","0.1696","0.1696"
"307","0.3007","0.3007","0.3007"
"308","0.1683","0.1683","0.1683"
"309","0.246","0.246","0.246"
"310","0.2283","0.2283","0.2283"
"311","0.2023","0.2023","0.2023"
"312","0.4176","0.4176","0.4176"
"313","0.1882","0.1882","0.1882"
"314","0.2333","0.2333","0.2333"
"315","0.36","0.36","0.36"
"316","0.3219","0.3219","0.3219"
"317","0.2893","0.2893","0.2893"
"318","0.1998","0.1998","0.1998"
"319","0.2857","0.2857","0.2857"
"320","0.1321","0.1321","0.1321"
"321","0.3705","0.3705","0.3705"
"322","0.1544","0.1544","0.1544"
"323","0.2661","0.2661","0.2661"
"324","0.2471","0.2471","0.2471"
"325","0.1938","0.1938","0.1938"
"326","0.3571","0.3571","0.3571"
"327","0.211","0.211","0.211"
"328","0.3431","0.3431","0.3431"
"329","0.2222","0.2222","0.2222"
"330","0.1581","0.1581","0.1581"
"331","0.1814","0.1814","0.1814"
"332","0.3713","0.3713","0.3713"
"333","0.1898","0.1898","0.1898"
"334","0.1364","0.1364","0.1364"
"335","0.2807","0.2807","0.2807"
"336","0.2845","0.2845","0.2845"
"337","0.3155","0.3155","0.3155"
"338","0.2767","0.2767","0.2767"
"339","0.2377","0.2377","0.2377"
"340","0.3849","0.3849","0.3849"
"341","0.2497","0.2497","0.2497"
"342","0.3186","0.3186","0.3186"
"343","0.3734","0.3734","0.3734"
"344","0.3755","0.3755","0.3755"
"345","0.2617","0.2617","0.2617"
"346","0.2072","0.2072","0.2072"
"347","0.3494","0.3494","0.3494"
"348","0.223","0.223","0.223"
"349","0.1534","0.1534","0.1534"
"350","0.4772","0.4772","0.4772"
"351","0.1204","0.1204","0.1204"
"352","0.2278","0.2278","0.2278"
"353","0.235","0.235","0.235"
"354","0.3298","0.3298","0.3298"
"355","0.2789","0.2789","0.2789"
"356","0.3027","0.3027","0.3027"
"357","0.2873","0.2873","0.2873"
"358","0.1206","0.1206","0.1206"
"359","0.3521","0.3521","0.3521"
"360","0.2968","0.2968","0.2968"
"361","0.2561","0.2561","0.2561"
"362","0.2364","0.2364","0.2364"
"363","0.221","0.221","0.221"
"364","0.327","0.327","0.327"
"365","0.1921","0.1921","0.1921"
"366","0.3961","0.3961","0.3961"
"367","0.1882","0.1882","0.1882"
"368","0.2051","0.2051","0.2051"
"369","0.2188","0.2188","0.2188"
"370","0.2366","0.2366","0.2366"
"371","0.2891","0.2891","0.2891"
"372","0.277","0.277","0.277"
"373","0.3006","0.3006","0.3006"
"374","0.1874","0.1874","0.1874"
"375","0.2906","0.2906","0.2906"
"376","0.2714","0.2714","0.2714"
"377","0.2391","0.2391","0.2391"
"378","0.261","0.261","0.261"
"379","0.2751","0.2751","0.2751"
"380","0.1449","0.1449","0.1449"
"381","0.2649","0.2649","0.2649"
"382","0.2396","0.2396","0.2396"
"383","0.2862","0.2862","0.2862"
"384","0.3283","0.3283","0.3283"
"385","0.2432","0.2432","0.2432"
"386","0.2919","0.2919","0.2919"
